,Problem_Type,Mean,Difficulty
76,meanGraphicallySpread,0.726709443574,1.36645278213
77,mixedFactoring,0.283668527855,3.58165736073
78,multiStepPercentIncreaseDecrease,0.320144514613,3.39927742694
79,multiplyBinomials,0.504115137046,2.47942431477
80,multiplyDivideScientific,0.237461445544,3.81269277228
81,multiplyPolynomialsLevel1,0.37628642905,3.11856785475
82,multiplyPolynomialsLevel2,0.367456497238,3.16271751381
83,multiplyPolynomialsLevel3,0.256318507147,3.71840746426
84,multiplyPowers,0.532157096046,2.33921451977
85,parabolaAValue,0.431868837494,2.84065581253
86,parallelEquations,0.425585351701,2.8720732415
89,percentDifferenceLevel1,0.150927887902,4.24536056049
90,percentIncreaseDecrease,0.531783693435,2.34108153283
91,percentIncreaseDecreaseLevel2,0.457311311031,2.71344344484
92,percentIncreaseDecreaseLevel3,0.320403689949,3.39798155025
93,percentIncreaseDecreaseWordL2,0.0633921149218,4.68303942539
94,percentIncreaseDecreaseWordProblems,0.4830533084,2.584733458
95,pointSlopeForm,0.0762624848585,4.61868757571
96,pointSolvingInequalitySystem,0.264733537351,3.67633231324
97,pointsOnFunctionGraph,0.315434841659,3.4228257917
98,powersMix,0.408475050072,2.95762474964
99,pythagoreanTheorem,0.12749485452,4.3625257274
100,quadLinearSystem,0.542399589121,2.28800205439
101,quadraticFormula,0.216377408354,3.91811295823
102,quadraticFormulaIrrational1,0.271834420368,3.64082789816
103,quadraticFormulaIrrational2,0.389386739639,3.0530663018
104,quadraticFormulaRational,0.354202542361,3.2289872882
106,rangeFromEquation,0.0176088466917,4.91195576654
107,reducingFractions,0.544359780921,2.27820109539
108,reducingRadicalsGuided,0.410865861536,2.94567069232
109,samePerpenParallelNeither,0.542541253061,2.2872937347
110,simplifyBasicRadicalWithX,0.547593984446,2.26203007777
112,simplifyRational,0.458928296771,2.70535851614
113,slopeFromPoints,0.441451820444,2.79274089778
114,slopeGraphically,0.462392240609,2.68803879696
115,solveLinearSystemElim,0.396893403722,3.01553298139
116,solveLinearSystemGuided,0.310129971519,3.44935014241
117,solveQuadraticFactoring,0.531864037392,2.34067981304
118,solveQuadraticRational,0.600367878961,1.9981606052
119,solveTrinomialFactorA1,0.532609917809,2.33695041095
120,solveTrinomialFactorA23456,0.499193400672,2.50403299664
121,standardToSlopeIntForm,0.408612943393,2.95693528303
122,trigFindAngleA1,0.0592696833081,4.70365158346
124,vertexForm,0.291133603462,3.54433198269
125,writeLineEquation,0.514493480043,2.42753259979
126,xGameLevel1,0.766740624567,1.16629687717
127,xGameLevel2,0.638553161896,1.80723419052
128,xGameLevel3,0.574798638503,2.12600680749
129,xGameMasterProduct,0.142682837173,4.28658581413
